,fips,cases,deaths,popdense,population,ageab55,ageab65,ageab75,diabetes,cases rate 10k,deaths rate 10k,deaths cases 10k,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,AR,AS,AT,AU,pct_highschool_or_less,% Adults with Diabetes,% Adults with Obesity
0,1001,4190,48,36.113876,55601,28.44733008,0.155626697,0.067498786,0.11,753.5835686,8.632938257,114.5584726,15.4,48.55128505,74.308014,19.343178,0.43704249,1.2050143,2.965774,11.48339462,33.58845901,28.3565712,26.57157326,45.07185364,11,33
1,1003,13601,161,52.94949,218022,34.84969407,0.204433498,0.081794498,0.11,623.8361266,7.384575868,118.373649,10.6,48.46162314,83.11134,8.783976,0.67011588,1.1342892,4.6467789,9.193842888,27.65961647,31.28408051,31.86245918,36.85345936,11,31
2,1005,1514,32,10.854899,24881,32.32587115,0.194204413,0.078574012,0.18000001,608.4964431,12.8612194,211.3606341,28.9,52.78324826,45.641252,48.032635,0.34162614,0.45416183,4.2763554,26.7869072,35.60454178,26.02983665,11.57871342,62.39144897,18,42
3,1007,1834,46,13.894338,22400,29.40625,0.164732143,0.067678571,0.15000001,818.75,20.53571429,250.8178844,14,53.21875,74.589288,21.120536,0.38392858,0.23214286,2.6249999,20.94260216,44.87877274,23.80009842,10.37852573,65.82137489,15,38
4,1009,4641,63,34.632576,57840,31.42807746,0.182365145,0.074429461,0.17,802.3858921,10.89211618,135.7466063,14.4,49.27385892,86.886239,1.4626556,0.5152144,0.27835409,9.5712312,19.50943756,33.42213058,33.97502136,13.09341335,52.93156815,17,34
5,1011,859,22,6.2849522,10138,30.48924837,0.163839022,0.070329454,0.23999999,847.3071612,21.70053265,256.1117579,31.4,54.51765634,21.217203,69.540346,0.23673309,0.12823042,7.9601496,25.32037735,40.27601624,22.34896469,12.05463982,65.59639359,24,37
6,1013,1508,45,9.7812996,19680,34.53252033,0.202997967,0.09120935,0.19,766.2601626,22.86585366,298.4084881,23.5,46.57012195,51.255083,44.557926,0.35060975,1.2703252,1.5091463,14.95043087,45.18416595,23.72820091,16.13720322,60.13459682,19,43
7,1015,9494,156,72.825485,114277,31.68179074,0.17717476,0.071501702,0.18000001,830.7883476,13.65104089,164.3143038,18.6,48.05341407,72.024989,20.850214,0.40953122,0.9319461,3.910673,15.56732559,32.79061508,33.16099548,18.48106384,48.35794067,18,39
8,1017,2341,63,21.756077,33615,34.24661609,0.195210472,0.080975755,0.2,696.4152908,18.7416332,269.1157625,16.6,47.87446081,55.231297,39.56567,0.23203928,1.2672914,2.5613565,18.37824249,36.735466,31.59023094,13.29606152,55.1137085,20,40
9,1019,1414,22,18.158186,26032,38.72157345,0.229717271,0.093538722,0.15000001,543.1776275,8.451137062,155.5869873,15,49.53902889,91.656423,4.2409342,0.56853103,0.31499693,1.6210817,18.42746544,40.25643921,28.56310272,12.75299358,58.68390465,15,35
