county,county_fips,lat,lng
Kings,36047,40.6395,-73.9385
Queens,36081,40.7023,-73.8203
New York,36061,40.7785,-73.9674
Suffolk,36103,40.8686,-72.8448
Bronx,36005,40.8501,-73.866
Nassau,36059,40.7328,-73.5865
Westchester,36119,41.1624,-73.7561
Erie,36029,42.764,-78.7323
Monroe,36055,43.1464,-77.6961
Richmond,36085,40.5808,-74.1524
Onondaga,36067,43.0058,-76.1946
Orange,36071,41.4022,-74.3056
Rockland,36087,41.1525,-74.0242
Albany,36001,42.6002,-73.9736
Dutchess,36027,41.7652,-73.7429
Saratoga,36091,43.1074,-73.8639
Oneida,36065,43.2418,-75.4358
Niagara,36063,43.2001,-78.7452
Broome,36007,42.1602,-75.8196
Ulster,36111,41.8881,-74.2586
Rensselaer,36083,42.7111,-73.5097
Schenectady,36093,42.8181,-74.0586
Hamilton,36041,43.6611,-74.4974
Lewis,36049,43.7851,-75.4486
Schoharie,36095,42.5882,-74.4421
Seneca,36099,42.7811,-76.8238
Wyoming,36121,42.7024,-78.2245
Orleans,36073,43.2521,-78.2312
Montgomery,36057,42.9023,-74.4397
Tioga,36107,42.1703,-76.3063
Greene,36039,42.2765,-74.1227
Franklin,36033,44.5929,-74.3038
Chenango,36017,42.4935,-75.6116
Cortland,36023,42.595,-76.0703
Allegany,36003,42.2574,-78.0276
Fulton,36035,43.1138,-74.4222
Livingston,36051,42.7281,-77.7755
Columbia,36021,42.2501,-73.6318
Washington,36115,43.3137,-73.4308
Herkimer,36043,43.4193,-74.9624
Otsego,36077,42.6338,-75.0326
Genesee,36037,43.0009,-78.1937
Warren,36113,43.561,-73.846
Madison,36053,42.9128,-75.6696
Clinton,36019,44.7462,-73.6782
Chemung,36015,42.1413,-76.76
Steuben,36101,42.2678,-77.3838
Putnam,36079,41.4267,-73.7495
Tompkins,36109,42.452,-76.4736
Ontario,36069,42.8528,-77.2998
Chautauqua,36013,42.2281,-79.3663
Oswego,36075,43.4269,-76.1413
Jefferson,36045,44.0495,-75.921
St. Lawrence,36089,44.4964,-75.0691
Wayne,36117,43.1566,-77.0294
Sullivan,36105,41.7164,-74.7681
Cattaraugus,36009,42.2486,-78.6788
Cayuga,36011,42.9175,-76.5545
Delaware,36025,42.1981,-74.9665
Essex,36031,44.1172,-73.7726
Yates,36123,42.6335,-77.1055
Schuyler,36097,42.3938,-76.8752
